year,avg_temp
1849,16.03
1850,15.55
1851,15.66
1852,16.06
1853,16.69
1854,16.11
1855,16.31
1856,15.75
1857,16.41
1858,15.96
1859,15.64
1860,15.74
1861,16.82
1862,16.37
1863,16.10
1864,16.87
1865,16.18
1866,16.64
1867,16.99
1868,16.53
1869,16.30
1870,15.85
1871,16.13
1872,15.70
1873,15.81
1874,15.40
1875,16.30
1876,15.96
1877,16.49
1878,15.73
1879,15.81
1880,14.66
1881,15.77
1882,15.16
1883,15.83
1884,15.47
1885,16.51
1886,15.86
1887,15.74
1888,16.04
1889,16.38
1890,16.10
1891,15.86
1892,15.57
1893,15.45
1894,15.00
1895,15.66
1896,16.15
1897,15.57
1898,15.75
1899,15.78
1900,16.50
1901,16.03
1902,15.32
1903,15.74
1904,16.38
1905,15.92
1906,16.02
1907,15.74
1908,15.36
1909,15.35
1910,16.12
1911,15.43
1912,15.33
1913,15.41
1914,16.03
1915,15.68
1916,15.09
1917,15.65
1918,16.13
1919,15.55
1920,15.40
1921,15.74
1922,15.49
1923,15.66
1924,15.75
1925,16.02
1926,16.50
1927,15.84
1928,16.13
1929,16.16
1930,16.10
1931,17.08
1932,15.64
1933,15.19
1934,16.95
1935,15.82
1936,16.73
1937,15.99
1938,16.32
1939,16.46
1940,16.85
1941,16.37
1942,15.90
1943,16.56
1944,15.42
1945,15.84
1946,15.94
1947,16.36
1948,15.34
1949,15.56
1950,15.96
1951,15.82
1952,15.60
1953,16.05
1954,16.21
1955,15.57
1956,15.94
1957,16.29
1958,16.97
1959,17.30
1960,16.33
1961,16.23
1962,15.49
1963,16.20
1964,15.54
1965,15.73
1966,16.21
1967,16.21
1968,16.27
1969,16.18
1970,16.36
1971,15.58
1972,16.18
1973,15.51
1974,15.97
1975,15.16
1976,16.53
1977,16.36
1978,16.46
1979,16.29
1980,16.62
1981,17.01
1982,15.95
1983,16.80
1984,17.03
1985,16.13
1986,16.59
1987,16.19
1988,16.47
1989,16.50
1990,16.69
1991,16.13
1992,17.33
1993,16.86
1994,16.45
1995,16.85
1996,17.20
1997,17.46
1998,16.21
1999,16.18
2000,16.90
2001,16.37
2002,16.37
2003,17.10
2004,16.84
2005,16.93
2006,17.23
2007,16.80
2008,17.21
2009,17.03
2010,16.19
2011,16.26
2012,17.20
2013,17.18
