tweet_id,retweet_count,favorite_count,display_text_size,rating_numerator,year,month,day,dog_stage,img_num,pred_dog,pred_conf
892420643555336193,8853,39467,85,13,2017,8,1,,1,,
892177421306343426,6514,33819,138,13,2017,8,1,,1,Chihuahua,0.323581
891815181378084864,4328,25461,121,12,2017,7,31,,1,Chihuahua,0.716012
891689557279858688,8964,42908,79,13,2017,7,30,,1,Labrador_retriever,0.168086
891327558926688256,9774,41048,138,12,2017,7,29,,2,basset,0.555712
891087950875897856,3261,20562,138,13,2017,7,29,,1,Chesapeake_Bay_retriever,0.425595
890971913173991426,2158,12041,140,13,2017,7,28,,1,Appenzeller,0.34170300000000003
890729181411237888,16716,56848,118,13,2017,7,28,,2,Pomeranian,0.566142
890609185150312448,4429,28226,122,13,2017,7,27,,1,Irish_terrier,0.487574
890240255349198849,7711,32467,133,14,2017,7,26,doggo,1,Pembroke,0.511319
890006608113172480,7624,31166,130,13,2017,7,26,,1,Samoyed,0.957979
889880896479866881,5156,28268,107,13,2017,7,25,,1,French_bulldog,0.377417
889665388333682689,8538,38818,106,13,2017,7,25,puppo,1,Pembroke,0.966327
889638837579907072,4735,27672,91,12,2017,7,25,,1,French_bulldog,0.99165
889531135344209921,2321,15359,118,13,2017,7,24,puppo,1,golden_retriever,0.953442
889278841981685760,5637,25652,138,13,2017,7,24,,1,whippet,0.626152
888917238123831296,4709,29611,86,12,2017,7,23,,1,golden_retriever,0.714719
888804989199671297,4559,26080,128,13,2017,7,22,,1,golden_retriever,0.46976
888554962724278272,3732,20290,87,13,2017,7,22,,3,Siberian_husky,0.700377
888078434458587136,3653,22201,127,12,2017,7,20,,1,French_bulldog,0.995026
887705289381826560,5609,30779,127,13,2017,7,19,,1,basset,0.821664
887517139158093824,12082,46959,108,14,2017,7,19,,1,,
887343217045368832,10737,34222,88,13,2017,7,18,,1,Mexican_hairless,0.330741
887101392804085760,6167,31061,129,12,2017,7,18,,1,Samoyed,0.733942
